date,instrument,signal,entry,stoploss,take_profit,confidence,time_of_day,day_of_week,result
2025-01-20,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,0,loss
2025-01-21,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,1,loss
2025-01-22,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,2,win
2025-01-23,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,3,win
2025-01-24,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,4,loss
2025-01-25,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,5,loss
2025-01-26,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,6,win
2025-01-27,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,0,win
2025-01-28,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,1,win
2025-01-29,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,2,win
2025-01-30,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,3,win
2025-01-31,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,4,win
2025-02-01,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,5,win
2025-02-02,USDJPY,SELL,156.28999,156.39392178571427,156.13409232142857,55.345712864625334,0,6,win
